"Topic","Cluster"
"Navi",1
"Cryptocurrency",2
"Entrepreneurship",3
"Security",4
"Spider Graph",1
"Email Parser",1
"Development",1
"Billing",1
"Zendledger",2
"Exchange",2
"Fair market Price",2
"Wallet",2
"Funding",3
"Soft Skill",3
"Psychological makeup",3
"Start Up",3
"Encryption",4
"Firewall",4
"Authorization",4
"Anti virus",4
"Cluster",1
"Quadrant",1
"K Means",1
"Navigation",1
"Wikipedia Topics",1
"IMAP",1
"Local Lock Box",1
"S3",1
"Go Lang",1
"Ruby on Rails",1
"React JS",1
"R Programming",1
"Invitation",1
"Stripe",1
"Business Plan",1
"Free Trial",1
"Gain calculation",2
"Test Sheet",2
"8489 Form",2
"Audit packet",2
"Binance",2
"GDAX",2
"Coinbase",2
"Phoenix",2
"Coin API",2
"CryptoCompare",2
"BitcoinCharts",2
"Cryptonator",2
"Exodus",2
"Jaxx",2
"Coinfy",2
"CoinSpace",2
"CTO",3
"Company Takeover",3
"Part time",3
"Meetup",3
"Communication",3
"Work ethic",3
"Teamwork",3
"Integrity",3
"Risk Taker",3
"Global Leadership",3
"Strategic Development",3
"Motivation",3
"Prototype Development",3
"Silicon Valley",3
"Business model",3
"Scalability",3
"SHA",4
"MD5",4
"WAP",4
"WEP",4
"Gateway",4
"Packet filter",4
"IPtables",4
"Whitelist",4
"Token Based",4
"Oauth",4
"Multi Factor",4
"Cookie",4
"Trojan horse",4
"Kaspersky",4
"Window defender",4
"Quarantine",4
